,제목,내용,링크
17,사하라 사막에 모닥불이 타오르고...우린 함께 춤을 추었다,에사우이라는 카사블랑카에서 서남쪽으로 300km 떨어져 있다. 이곳은 모로코의 사하라 내륙 지역과 유럽의 각 항구를 연결했던 국제적으로 중요한 무역 항구였다. 겨울인데도 한낮에는 햇볕이 강해서 해변에는 옷을 벗고 선,https://n.news.naver.com/article/094/0000010748
18,"이부진 호텔신라 사장, 지난해 연봉 35억600만원 받아",이부진 호텔신라(008770) 사장이 지난해 35억600만원의 보수를 받았다. 9일 호텔신라에 따르면 이 사장의 연봉은 35억600만원으로 전년 41억4800억원 대비 15.5% 줄었다. 연봉은 급여 13억6600만,https://n.news.naver.com/article/421/0006675729
19,"""전대는 끝났다…이제 원팀"" 안철수, 연일 대표경선 승복 메시지","安 ""높은 투표율과 결과로 당원 뜻 알아, 겸허히 수용"" ""김기현 新지도부에 아낌없는 응원…그간 조언·비판 새기겠다"" ""입당 얼마 안 됐어도 지지에 감사…단단해질 것"" 뼈있는 말 10일 캠프 해단식…대통령실 수석 고",https://n.news.naver.com/article/029/0002788149
20,"정의선, 울산공장 첫 방문 尹대통령에 ""코로나 이후 최대 생산·수출"" 다짐",현대자동차가 9일 울산공장을 첫 방문한 윤석열 대통령에게 코로나19 이후 국내에서 최대 생산 및 최다 수출 실적을 내겠다고 다짐했다. 이날 울산 장생포 울산부두에서 국내 최초 직류기반 하이브리드 전기추진선인 ‘태화호,https://n.news.naver.com/article/119/0002690872
21,비도 안 오는데 우산 쓰고 골목길에 '하얀 액체' 줄줄,우산을 쓴 남성 한 명이 골목길을 걸어갑니다. 잠시 뒤 위쪽 도로에서 나타난 모자를 쓴 남성. 그러자 골목길에 있던 남성이 모자 쓴 남성을 우산으로 가려주는 듯한 행동을 취합니다. 허리를 굽힌 채로 거리에 뭔가를 계,https://n.news.naver.com/article/214/0001258655
22,“거래소 추진 더딘데 회비 내라니”  부산블록체인협 1년 새 존폐 기로,부산 블록체인 산업 활성화를 목표로 2021년 9월에 만들어진 부산블록체인산업협회가 발족 1년여 만에 존폐 위기로 몰렸다. 부산 디지털자산거래소 참여가 속내였던 회원사들이 더딘 거래소 추진으로 협회에 불만을 갖기 시,https://n.news.naver.com/article/082/0001201775
23,"소득대체율이냐 재정안정이냐, 연금 개혁 해법은?","윤석열 정부가 ‘연금 개혁’을 ‘노동·교육 개혁’과 함께 3대 개혁으로 꼽았다. 이대로라면 1990년생이 65세가 되어 연금급여를 받기 시작하는 시점(2055년)에, 국민연금은 고갈된다. 연금 고갈은, 국민연금공단이",https://n.news.naver.com/article/308/0000032331
24,[KT CEO 잔혹사]② 반복된 낙하산 논란...KT는 왜 타깃이 되었나,"민영기업 KT를 향한 ‘외풍’ 논란은 CEO 교체기마다 끊이지 않고 반복돼 온 일이다. 이번에도 구현모 대표를 이을 차기 대표이사 후보 1인이 최종 확정되었지만, 정치권 일각에선 여전히 불만의 시선을 보내고 있다. ",https://n.news.naver.com/article/138/0002143904
25,"현대차 울산공장 찾은 尹…정의선 ""올해 코로나 이후 최대 생산·수출 목표""",현대자동차가 올해 코로나19 이후 국내에서 최대 생산과 수출에 나선다. 현대차는 이날 울산공장을 찾아 자동차 수출 선적 부두와 울산5공장 제네시스 생산라인 등을 둘러본 윤석열 대통령에게 이 같은 계획을 전했다. 정의,https://n.news.naver.com/article/030/0003083372
26,“키 크고 통통한 女 선호”…김성경·정가은 JMS 전도 당할 뻔,"넷플릭스 다큐 ‘나는 신이다: 신이 배신한 사람들’(이하 ‘나는 신이다’가 기독교복음선교회(JMS) 교주 정명석 총재의 만행을 폭로해 파문이 일고 있는 가운데 방송인 김성경, 정가은의 JMS 관련한 일화가 재조명되고",https://n.news.naver.com/article/009/0005099436
27,"이부진 호텔신라 사장, 지난해 연봉 35억원","이부진 호텔신라 사장이 지난해 35억600만원의 연봉을 받은 것으로 나타났다. 9일 호텔신라에 따르면 지난해 이부진 사장의 연봉은 급여 13억6600만원과 상여 21억3500만원, 기타근로소득 500만원 등 35억6",https://n.news.naver.com/article/243/0000041407
28,미국은 이민 문턱까지 낮췄는데…반도체 전쟁에 싸울 전사 없는 한국,“마이크론이 (인재를) 똑똑하게 만들어 놓으면 인텔이 데려가고 마이크론은 그 빈자리에 삼성과 SK하이닉스 인재를 뽑아 간다. 인텔이 키워 놓은 인재는 구글이나 엔비디아로 간다. 인재 양성은 저출산 문제만큼이나 복잡한,https://n.news.naver.com/article/050/0000064316
29,"닻 올린 김기현號, '新실세'는 이철규?","사무총장 하마평…與일각, '용산發 공천' 논란 우려도 김기현 국민의힘 신임 대표가 9일 취임한 후 여권의 관심은 당의 살림을 책임지는 '사무총장'에 쏠린다. 장제원 의원이 '윤핵관'(윤석열 대통령 핵심 관계자) 논란",https://n.news.naver.com/article/586/0000053800
